Tube N°;Date;Location;length (mm);weight(mg);pigmentation stage;condition factor;Food visible;remarks;;;;;;;;;;;;
223;12/05/2017;VA_SC_RO_SU;73;383;VIB;0,98;F;Silvered body cavity;;;;;;;;;;;;
224;12/05/2017;VA_SC_RO_SU;68;347;VIB;1,10;F;Silvered body cavity;;;;;;;;;;;;
225;12/05/2017;VA_SC_RO_SU;67;322;VII;1,07;F;;;;;;;;;;;;;
226;12/05/2017;VA_MI_RO_SU;73;372;VII;0,96;F;;;;;;;;;;;;;
227;12/05/2017;VA_MI_RO_SU;70;398;VIB;1,16;F;;;;;;;;;;;;;
228;12/05/2017;VA_MI_RO_SU;71;428;VII;1,20;F;;;;;;;;;;;;;
229;12/05/2017;VA_MI_RO_SU;68;370;VIB;1,18;F;;;;;;;;;;;;;
230;12/05/2017;VA_MI_RO_SU;75;385;VIB;0,91;F;;;;;;;;;;;;;
231;12/05/2017;VA_PG_LO_PA;69;273;VII;0,83;F;;;;;;;;;;;;;
232;12/05/2017;VA_PG_LO_PA;71;357;VII;1,00;F;;;;;;;;;;;;;
233;12/05/2017;VA_PG_LO_PA;64;238;VII;0,91;F;;;;;;;;;;;;;
234;12/05/2017;VA_PG_LO_PA;67;279;VIB;0,93;F;;;;;;;;;;;;;
235;12/05/2017;VA_PG_LO_PA;72;311;VIB;0,83;F;;;;;;;;;;;;;
236;19/05/2017;VA_PG_RO_PA;69;281;VIB;0,86;F;;;;;;;;;;;;;
237;19/05/2017;VA_PG_RO_PA;72;310;VII;0,83;F;;;;;;;;;;;;;
238;19/05/2017;VA_PG_RO_PA;73;361;VII;0,93;F;;;;;;;;;;;;;
239;19/05/2017;VA_PG_RO_PA;72;327;VII;0,88;F;;;;;;;;;;;;;
240;19/05/2017;VA_PG_RO_PA;64;225;VII;0,86;F;;;;;;;;;;;;;
241;19/05/2017;VA_PG_LO_PA;68;229;VIB;0,73;F;;;;;;;;;;;;;
242;19/05/2017;VA_PG_LO_PA;79;292;VIA4;0,59;F-;;;;;;;;;;;;;
243;19/05/2017;VA_PG_LO_PA;67;197;VIB;0,66;F;;;;;;;;;;;;;
244;19/05/2017;VA_PG_LO_PA;78;315;VIB;0,66;F;;;;;;;;;;;;;
245;19/05/2017;VA_PG_LO_PA;67;232;VII;0,77;F;;;;;;;;;;;;;
246;19/05/2017;VA_SC_LO_SU;77;466;VII;1,02;F;;;;;;;;;;;;;
247;19/05/2017;VA_SC_LO_SU;75;529;VII;1,25;F;;;;;;;;;;;;;
248;19/05/2017;VA_SC_LO_SU;67;375;VII;1,25;F;;;;;;;;;;;;;
249;19/05/2017;VA_SC_LO_SU;68;339;VII;1,08;F;;;;;;;;;;;;;
250;19/05/2017;VA_SC_LO_SU;72;420;VII;1,13;F;;;;;;;;;;;;;
251;19/05/2017;VA_MI_RO_SU;68;368;VII;1,17;F;;;;;;;;;;;;;
252;19/05/2017;VA_MI_RO_SU;67;362;VIB;1,20;F;;;;;;;;;;;;;
253;19/05/2017;VA_MI_RO_SU;73;406;VII;1,04;F;;;;;;;;;;;;;
254;19/05/2017;VA_MI_RO_SU;68;409;VII;1,30;F;;;;;;;;;;;;;
255;19/05/2017;VA_MI_RO_SU;72;483;VII;1,29;F;;;;;;;;;;;;;
256;24/05/2017;VA_PG_LO_PA;67;261;VII;0,87;F;;;;;;;;;;;;;
257;24/05/2017;VA_PG_LO_PA;69;264;VIB;0,80;F;;;;;;;;;;;;;
258;24/05/2017;VA_PG_LO_PA;74;334;VII;0,82;F;;;;;;;;;;;;;
259;24/05/2017;VA_PG_LO_PA;75;300;VII;0,71;F;;;;;;;;;;;;;
260;24/05/2017;VA_PG_LO_PA;69;287;VII;0,87;F;;;;;;;;;;;;;
261;24/05/2017;VA_PG_RO_PA;72;204;VIB;0,55;F;;;;;;;;;;;;;
262;24/05/2017;VA_PG_RO_PA;64;178;VII;0,68;F;;;;;;;;;;;;;
263;24/05/2017;VA_PG_RO_PA;69;271;VII;0,82;F;;;;;;;;;;;;;
264;24/05/2017;VA_PG_RO_PA;65;202;VII;0,74;F;;;;;;;;;;;;;
265;24/05/2017;VA_PG_RO_PA;70;261;VIA4;0,76;F;;;;;;;;;;;;;
266;24/05/2017;VA_PG_LO_SU;111;1818;elver;1,33;F;;;;;;;;;;;;;
267;24/05/2017;VA_PG_LO_SU;74;428;VII;1,06;F;;;;;;;;;;;;;
268;24/05/2017;VA_PG_LO_SU;75;346;VIB;0,82;F;;;;;;;;;;;;;
269;24/05/2017;VA_PG_LO_SU;67;247;VII;0,82;F;;;;;;;;;;;;;
270;24/05/2017;VA_PG_LO_SU;70;357;VII;1,04;F;;;;;;;;;;;;;
271;24/05/2017;VA_MI_RO_SU;73;433;VII;1,11;F;;;;;;;;;;;;;
272;24/05/2017;VA_MI_RO_SU;68;338;VII;1,07;F;;;;;;;;;;;;;
273;24/05/2017;VA_MI_RO_SU;68;299;VII;0,95;F;;;;;;;;;;;;;
274;24/05/2017;VA_MI_RO_SU;68;348;VII;1,11;F;;;;;;;;;;;;;
275;24/05/2017;VA_MI_RO_SU;72;405;VII;1,09;F;;;;;;;;;;;;;
276;24/05/2017;VA_SC_RO_SU;72;542;VII;1,45;F;broken tail;;(mogelijks als nr 266 aangeduid);;;;;;;;;;
